chengyu,mot_clef,literal_keyword_category,label_principal,labels_secondaires,justification,source_label
,,,,,,
师心自用,心,身体部位,认知/态度,自负;主观;固执,表示只相信自己，核心是认知态度,artificial
,,,,,,
实心实意,心,身体部位,情感/态度,真诚;诚恳;真实,表示真心，核心是情感态度,artificial
,,,,,,
世道人心,心,身体部位,社会/道德,社会风气;人心状态,表示社会整体状态，核心是社会道德,artificial
,,,,,,
事与心违,心,身体部位,认知/期望,愿望落空;不符合预期,表示现实与愿望冲突，核心是认知落差,artificial
,,,,,,
私心杂念,心,身体部位,道德/心理,自私;杂念;动机不纯,表示内心不纯，核心是道德心理,artificial
,,,,,,
死心塌地,心,身体部位,态度/行为,坚定;执着;忠诚,表示非常坚定，核心是态度行为,artificial
,,,,,,
贪心不足,心,身体部位,道德/心理,贪婪;欲望无止境,表示贪欲无穷，核心是道德与心理特征,artificial
,,,,,,
提心吊胆,心;胆,身体部位,情感/状态,恐惧;焦虑;紧张,表示持续恐惧不安，核心是情感状态,artificial
,,,,,,
天地良心,心,身体部位,道德/判断,良知;诚实;正直,表示凭良心说话，核心是道德判断,artificial
,,,,,,
天理良心,心,身体部位,道德/判断,良知;正义;道德规范,表示符合天理良心，核心是道德判断,artificial
,,,,,,
铁石心肠,心;肠,身体部位,情感/性格特征,冷酷;无情;残忍,表示冷酷无情，核心是性格特征,artificial
,,,,,,
童心未泯,心,身体部位,性格/心理,天真;纯真;童趣,表示保持童真，核心是心理特征,artificial
,,,,,,
同心同德,心,身体部位,社会/关系,团结;一致;合作,表示共同目标与意志，核心是社会关系,artificial
,,,,,,
痛心疾首,心;首,身体部位,情感/状态,痛苦;悔恨;悲伤,表示极度痛苦或悔恨，核心是情感状态,artificial
,,,,,,
痛下决心,心,身体部位,认知/决策,坚定决定;决心;果断,表示做出艰难决定，核心是认知决策,artificial
,,,,,,
推心置腹,心;腹,身体部位,社会/交往,坦诚;信任;真诚交流,表示坦诚相待，核心是社会交往,artificial
,,,,,,
挖空心思,心,身体部位,认知/努力,费尽心思;思考;策划,表示极度思考，核心是认知努力,artificial
,,,,,,
万箭穿心,心,身体部位,情感/体验,极度痛苦;悲伤;打击,表示强烈痛苦体验，核心是情感体验,artificial
,,,,,,
万众一心,心,身体部位,社会/集体意志,团结;一致;共同目标,表示群体一致，核心是集体意志,artificial
,,,,,,
枉费心机,心,身体部位,行动/结果,徒劳;无效努力;失败,表示努力无效，核心是行动结果,artificial
,,,,,,
违心之论,心,身体部位,认知/态度,违背内心;不真实;勉强,表示言不由衷，核心是认知态度,artificial
,,,,,,
问心无愧,心,身体部位,道德/心理,无愧;坦然;良心安定,表示内心无愧，核心是道德心理,artificial
,,,,,,
无所用心,心,身体部位,心理/态度,漫不经心;冷漠;不投入,表示不投入，核心是心理态度,artificial
,,,,,,
洗心革面,心,身体部位,行为/转变,改过自新;转变;重新做人,表示彻底改变，核心是行为转变,artificial
,,,,,,
小心谨慎,心,身体部位,行为/态度,谨慎;小心;警惕,表示谨慎行事，核心是行为态度,artificial
,,,,,,
蜂拥而上,蜂,动物,行为/群体行为,迅速;聚集;大量行动,表示大量人迅速聚集或行动，核心是群体行为，而非“蜂”,artificial
,,,,,,
招蜂引蝶,蜂;蝶,动物,行为/人际行为,吸引异性;调情;轻佻,表示吸引异性或轻佻行为，核心是人际行为，而非昆虫,artificial
,,,,,,
飞鹰走狗,鹰;狗,动物,行为/娱乐活动,狩猎;享乐;消遣,表示从事狩猎等娱乐活动，核心是行为方式，而非动物,artificial
,,,,,,
饥鹰饿虎,鹰;虎,动物,品格/性格,残忍;贪婪;凶狠,表示人像猛兽一样贪婪凶狠，核心是性格评价,artificial
,,,,,,
鹰鼻鹞眼,鹰;鹞,动物,外貌/性格评价,凶狠;狡诈;阴险,表示外貌或神态凶狠阴险，核心是评价，而非动物特征,artificial
,,,,,,
鹰瞵鹗视,鹰;鹗,动物,行为/状态,凶狠;警觉;威慑,表示目光凶狠、警觉，核心是状态与气势,artificial
,,,,,,
鹰瞵虎视,鹰;虎,动物,行为/状态,威胁;凶狠;觊觎,表示带有威胁性地注视，核心是行为与意图,artificial
,,,,,,
鹰拿燕雀,鹰;燕;雀,动物,能力/结果,轻松;容易;压倒性优势,表示轻而易举地完成某事，核心是结果,artificial
,,,,,,
鹰犬塞途,鹰;犬,动物,社会/权力结构,压迫;控制;权势,表示权势人物或爪牙横行，核心是社会关系,artificial
,,,,,,
鹰视虎步,鹰;虎,动物,品格/行为,野心;阴险;威慑,表示行为中带有野心或阴险，核心是性格与行为,artificial
,,,,,,
鹰扬虎视,鹰;虎,动物,外貌/气质评价,威严;雄壮;气势,表示气势雄伟，核心是气质评价,artificial
,,,,,,
博士买驴,驴,动物,言语/表达,冗长;空洞;无效表达,表示说话或写作冗长无用，核心是表达问题,artificial
,,,,,,
非驴非马,驴;马,动物,认知/分类,模糊;不明确;不成体系,表示事物不清楚、不伦不类，核心是认知判断,artificial
,,,,,,
驴鸣狗吠,驴;狗,动物,言语/表达,粗俗;低劣;无价值,表示文章或语言低劣，核心是评价,artificial
,,,,,,
驴年马月,驴;马,动物,时间/概念,遥远;不可能;虚无,表示不会到来的时间，核心是时间概念,artificial
,,,,,,
骑驴倒堕,驴,动物,状态/情境,意外;失误;反常,表示发生异常或出乎意料的情况，核心是情境变化,artificial
,,,,,,
骑驴找马,驴;马,动物,行为/选择策略,不满足;寻找更好;比较,表示在已有条件下寻找更好选择，核心是策略行为,artificial
,,,,,,
黔驴技穷,驴,动物,能力/状态,无能;穷尽;无计可施,表示能力用尽、无计可施，核心是能力状态,artificial
卸磨杀驴,驴,动物,社会/行为评价,忘恩负义;利用后抛弃,表示在利用完他人后将其抛弃，核心是社会行为与道德评价，而非“驴”,artificial
,,,,,,
蛛丝马迹,蛛;马,动物,认知/推理,线索;痕迹;推断依据,表示细微的线索或迹象，核心是认知过程,artificial
,,,,,,
蛛网尘封,蛛,动物,状态/环境,荒废;久未使用;冷落,表示长时间无人使用或被遗忘的状态,artificial
,,,,,,
鲸吞虎噬,鲸;虎,动物,行为/社会行为,贪婪;掠夺;压迫,表示贪婪地侵占他人利益，核心是行为方式,artificial
,,,,,,
鹡鸰在原,鹡鸰,动物,社会/关系情感,兄弟情;互助;亲情,表示兄弟之间相互关爱，核心是关系情感,artificial
,,,,,,
蚌鹬争衡,蚌;鹬,动物,社会/互动关系,冲突;两败俱伤;第三方获利,表示双方争斗反而让第三者得利,artificial
,,,,,,
百兽率舞,兽,动物,社会/政治评价,太平;和谐;德治,表示社会安定、政治清明，核心是社会状态,artificial
,,,,,,
飞禽走兽,禽;兽,动物,分类/概念,动物总体;自然类别,表示各种动物，核心是概念分类（少数接近字面义的情况）,artificial
,,,,,,
困兽犹斗,兽,动物,行为/状态,绝境反抗;顽强;拼搏,表示人在绝境中仍奋力反抗,artificial
,,,,,,
鸟声兽心,鸟;兽,动物,道德/品格,虚伪;残忍;表里不一,表示表面温和内心残忍，核心是品格评价,artificial
,,,,,,
禽奔兽遁,禽;兽,动物,行为/群体状态,逃散;混乱;慌乱,表示人群四散奔逃，核心是群体行为,artificial
,,,,,,
禽困覆车,禽,动物,行为/状态,绝望反抗;极端行为,表示人在绝境中可能采取激烈行动,artificial
,,,,,,
禽兽不如,禽;兽,动物,道德/评价,卑劣;残忍;不道德,表示行为极其恶劣，核心是道德评价,artificial
,,,,,,
人面兽心,兽,动物,道德/品格,残忍;虚伪;伪善,表示外表像人但内心残忍，核心是品格评价,artificial
,,,,,,
人头畜鸣,畜,动物,认知/能力评价,愚蠢;无知;低劣,表示人却像牲畜一样愚蠢，核心是能力评价,artificial
,,,,,,
兽聚鸟散,兽;鸟,动物,社会/群体行为,聚散无常;不稳定,表示人群聚散无常，核心是群体状态,artificial
,,,,,,
率兽食人,兽,动物,社会/权力行为,压迫;暴政;剥削,表示统治者残害人民，核心是社会行为,artificial
,,,,,,
衣冠禽兽,禽;兽,动物,道德/品格,伪善;卑鄙;虚伪,表示外表体面但内心卑劣，核心是道德评价,artificial
,,,,,,
珍禽奇兽,禽;兽,动物,分类/概念,稀有;珍贵;自然类别,表示珍稀动物，核心是概念分类（接近字面义的情况）,artificial
,,,,,,
版筑饭牛,牛,动物,社会/身份评价,出身低微;成功;逆袭,表示出身卑微但最终取得成就，核心是社会评价,artificial
,,,,,,
吹牛拍马,牛;马,动物,言语/表达,夸大;奉承;虚伪,表示吹嘘和奉承他人，核心是言语行为，而非动物,artificial
,,,,,,
椎牛飨士,牛,动物,社会/行为,奖励;慷慨;激励,表示用丰厚待遇奖励他人，核心是社会行为,artificial
,,,,,,
带牛佩犊,牛,动物,社会/生活转变,归隐;转业;和平生活,表示从军旅或战斗生活回归平民生活,artificial
,,,,,,
对牛弹琴,牛,动物,言语/表达,无效沟通;对象不理解;徒劳,表示对不懂的人讲道理，核心是沟通失败,artificial
,,,,,,
多如牛毛,牛,动物,数量/程度,大量;极多,表示数量非常多，核心是数量概念,artificial
,,,,,,
放牛归马,牛;马,动物,社会/状态,和平;结束冲突,表示战争结束、恢复和平,artificial
,,,,,,
汗牛充栋,牛,动物,数量/状态,丰富;积累;知识量大,表示书籍或知识极多，核心是数量与积累,artificial
,,,,,,
九牛一毛,牛,动物,数量/程度,微小;可忽略;比例极小,表示数量极少，核心是比例关系,artificial
,,,,,,
老牛破车,牛,动物,状态/能力,缓慢;低效;落后,表示行动缓慢或效率低，核心是状态评价,artificial
,,,,,,
牛黄狗宝,牛;狗,动物,道德/品格,虚伪;伪善;负面评价,表示表面珍贵实则无价值或虚伪，核心是评价,artificial
,,,,,,
老牛舐犊,牛,动物,情感/关系,亲情;关爱;父母之爱,表示父母对子女的深厚感情,artificial
,,,,,,
卖剑买牛,牛,动物,行为/人生转变,弃武从文;改过;回归平静,表示放弃战争或暴力，回归和平生活,artificial
,,,,,,
目无全牛,牛,动物,能力/技能掌握,熟练;精通;经验丰富,表示对某项技能极其熟练，达到熟能生巧的程度，核心是技能掌握，而非“牛”,artificial
,,,,,,
泥牛入海,牛,动物,状态/结果,消失;无回音;无结果,表示一去不返或毫无音讯，核心是结果状态,artificial
,,,,,,
牛刀割鸡,牛;鸡,动物,行为/资源使用,浪费;不匹配;大材小用,表示用过大的资源处理小事，核心是资源配置不当,artificial
,,,,,,
牛刀小试,牛,动物,能力/表现,初试;展示才能;潜力,表示初次展示才能但已显出高水平，核心是能力表现,artificial
,,,,,,
牛鼎烹鸡,牛;鸡,动物,行为/资源使用,浪费;大材小用;不匹配,表示用过高资源处理小事，核心是行为评价,artificial
,,,,,,
牛鬼蛇神,牛;蛇,动物,社会/道德评价,邪恶;负面人物;混乱,表示各种坏人或不良事物，核心是道德评价,artificial
,,,,,,
牛骥共牢,牛;骥,动物,社会/关系状态,混杂;不分优劣;不公平,表示贤者与庸者混在一起，核心是社会结构问题,artificial
,,,,,,
牛马生活,牛;马,动物,生活状态,劳累;压迫;辛苦,表示像牲畜一样辛苦的生活，核心是生活状态,artificial
,,,,,,
牛毛细雨,牛,动物,自然/现象,细小;持续;微弱,表示细密的小雨，核心是自然现象（较接近字面隐喻）,artificial
,,,,,,
牛溲马勃,牛;马,动物,价值/评价,廉价;低价值;实用性,表示看似低贱但有用的事物，核心是价值评价,artificial
,,,,,,
牛首马面,牛;马,动物,外貌/道德评价,丑陋;可怕;负面形象,表示外貌或形象丑恶，核心是评价,artificial
,,,,,,
牛衣对泣,牛,动物,社会/生活状态,贫困;困苦;艰难,表示生活贫困，核心是社会状态,artificial
,,,,,,
气喘如牛,牛,动物,身体/状态,疲惫;剧烈呼吸,表示非常疲劳，核心是身体状态,artificial
,,,,,,
气壮如牛,牛,动物,能力/状态,强壮;有力;精力充沛,表示体力或气势强大，核心是状态评价,artificial
,,,,,,
如牛负重,牛,动物,状态/负担,压力大;沉重;责任,表示承担沉重负担，核心是状态,artificial
,,,,,,
土牛土马,牛;马,动物,价值/评价,无用;低价值;虚假,表示没有实际价值的事物，核心是评价,artificial
,,,,,,
钻牛角尖,牛,动物,认知/思维方式,钻研过度;偏执;死板,表示思维狭窄或过于纠结细节，核心是认知方式,artificial
,,,,,,
棒打鸳鸯,鸳鸯,动物,社会/关系行为,拆散;干预;破坏关系,表示强行拆散情侣，核心是社会行为,artificial
,,,,,,
凫趋雀跃,凫;雀,动物,情绪/状态,喜悦;兴奋;活跃,表示非常高兴、兴奋，核心是情绪状态，而非“鸟类行为”,artificial
,,,,,,
乱点鸳鸯,鸳鸯,动物,社会/关系行为,强制婚姻;干预;不匹配,表示强行撮合不合适的婚姻，核心是社会关系行为,artificial
,,,,,,
趋之若鹜,鹜,动物,行为/群体行为,盲从;追逐;大量聚集,表示人们盲目地争相追逐某事物，核心是群体行为,artificial
,,,,,,
鸳梦重温,鸳鸯,动物,情感/关系,爱情;回忆;复燃,表示重温旧情或爱情，核心是情感关系,artificial
,,,,,,
即鹿无虞,鹿,动物,行为/决策,准备不足;冒险;缺乏条件,表示在没有准备的情况下贸然行动，核心是决策问题,artificial
,,,,,,
鹿死谁手,鹿,动物,结果/竞争,胜负;不确定;竞争结果,表示胜负未定，核心是竞争结果,artificial
,,,,,,
群雄逐鹿,鹿,动物,社会/权力竞争,争夺;权力;竞争,表示多方争夺权力，核心是社会竞争,artificial
,,,,,,
指鹿为马,鹿;马,动物,社会/权力行为,颠倒黑白;操控;专制,表示故意混淆是非，核心是权力操控行为,artificial
,,,,,,
中原逐鹿,鹿,动物,社会/权力竞争,争夺;统治;竞争,表示争夺政权或领导地位，核心是权力竞争,artificial
,,,,,,
铜驼荆棘,驼,动物,社会/历史状态,荒废;衰败;战乱后果,表示因战争导致的荒废景象，核心是历史状态,artificial
,,,,,,
猫哭老鼠,猫;鼠,动物,道德/品格,虚伪;假同情;伪善,表示假装同情他人，核心是道德评价,artificial
,,,,,,
猫鼠同眠,猫;鼠,动物,社会/权力关系,勾结;腐败;纵容,表示权力者与下属勾结，核心是社会关系,artificial
,,,,,,
照猫画虎,猫;虎,动物,认知/学习方式,模仿;机械;缺乏创造,表示机械模仿，核心是认知方式,artificial
,,,,,,
鸮心鹂舌,鸮;鹂,动物,道德/品格,虚伪;表里不一;欺骗,表示内心恶毒但言语动听，核心是品格,artificial
,,,,,,
獐头鼠目,獐;鼠,动物,外貌/道德评价,丑陋;猥琐;低劣,表示外貌或气质低劣，核心是评价,artificial
,,,,,,
鞍前马后,马,动物,社会/角色关系,服从;跟随;服务,表示跟随侍奉他人，核心是社会角色,artificial
,,,,,,
按图索骥,骥,动物,认知/方法,依赖信息;机械查找;缺乏灵活性,表示根据已有信息寻找目标，核心是方法与认知，而非“马”,artificial
,,,,,,
白驹过隙,驹,动物,时间/概念,短暂;流逝;迅速,表示时间飞快流逝，核心是时间概念,artificial
,,,,,,
白马素车,马,动物,社会/仪式,丧葬;哀悼;仪式,表示丧葬场景，核心是社会文化行为,artificial
,,,,,,
白马王子,马,动物,社会/人物形象,理想对象;浪漫;吸引力,表示理想男性形象，核心是社会文化概念,artificial
,,,,,,
兵荒马乱,马,动物,社会/状态,混乱;战争;动荡,表示战争带来的混乱状态，核心是社会状态,artificial
,,,,,,
兵强马壮,马,动物,能力/实力,强大;战斗力;资源充足,表示力量强大，核心是能力与资源,artificial
,,,,,,
伯乐相马,马,动物,能力/识别,识才;发现人才;判断能力,表示识别人才的能力，核心是认知能力,artificial
,,,,,,
车殆马烦,马,动物,状态/身体状态,疲劳;消耗;劳累,表示极度疲劳，核心是状态,artificial
,,,,,,
车水马龙,马,动物,社会/群体状态,繁忙;密集;流动,表示交通繁忙或人流密集,artificial
,,,,,,
单枪匹马,马,动物,行为/行动方式,独立;单独;无助,表示独自行动，核心是行为方式,artificial
,,,,,,
肥马轻裘,马,动物,社会/生活状态,富裕;奢华;享受,表示生活富足，核心是生活状态,artificial
,,,,,,
附骥名彰,骥,动物,社会/关系策略,依附;借势;获取名声,表示依附他人获得名声，核心是策略行为,artificial
,,,,,,
高头大马,马,动物,外貌/身体特征,高大;强壮;体格,表示人或马体格高大，核心是外貌特征,artificial
,,,,,,
害群之马,马,动物,社会/群体评价,破坏者;负面个体;影响群体,表示对群体有害的人，核心是社会评价,artificial
,,,,,,
汗马功劳,马,动物,行为/成就,贡献;功劳;努力成果,表示重要贡献或功绩，核心是成就评价,artificial
,,,,,,
金戈铁马,马,动物,社会/战争概念,战争;军事;历史象征,表示战争或军事场景，核心是历史与社会概念，而非“马”,artificial
,,,,,,
驹齿未落,驹,动物,身份/年龄评价,年轻;缺乏经验,表示年纪尚轻、经验不足，核心是社会评价,artificial
,,,,,,
渴骥奔泉,骥,动物,状态/需求,渴望;迫切需求,表示极其迫切的需求，核心是心理或生理状态,artificial
,,,,,,
快马加鞭,马,动物,行为/行动方式,加速;努力;提高效率,表示加快行动速度或加强努力，核心是行为方式,artificial
,,,,,,
老骥伏枥,骥,动物,情感/志向,抱负;坚持;老而不衰,表示年老仍有远大志向，核心是心理与志向,artificial
,,,,,,
老马恋栈,马,动物,情感/心理状态,依恋;怀旧;不愿离开,表示对旧环境或旧关系的依恋，核心是情感状态,artificial
,,,,,,
老马识途,马,动物,能力/经验,经验丰富;熟悉情况,表示经验丰富，核心是认知能力,artificial
,,,,,,
马不停蹄,马,动物,行为/行动方式,持续;不间断;勤奋,表示不停地行动或工作，核心是行为状态,artificial
,,,,,,
马齿徒增,马,动物,人生/状态评价,虚度;无成就;年龄增长,表示年龄增长却没有成就，核心是人生评价,artificial
,,,,,,
马到成功,马,动物,结果/成就,迅速成功;顺利;效率高,表示迅速取得成功，核心是结果,artificial
,,,,,,
马革裹尸,马,动物,社会/行为价值,牺牲;忠诚;战争死亡,表示为国捐躯，核心是价值与行为,artificial
,,,,,,
马角乌白,马,动物,时间/可能性,不可能;荒谬;虚幻,表示不可能发生的事情，核心是逻辑与可能性,artificial
,,,,,,
马空冀北,马,动物,社会/资源分配,人才集中;资源被占用,表示人才被集中或垄断，核心是社会结构,artificial
,,,,,,
马牛其风,马;牛,动物,认知/评价,杂乱;不一致;无关联,表示事物杂乱无章，核心是认知判断,artificial
,,,,,,
马牛襟裾,马;牛,动物,道德/品格,无礼;粗俗;不守规范,表示人行为粗鄙，核心是道德评价,artificial
,,,,,,
马失前蹄,马,动物,结果/错误,失误;偶然错误;失败,表示发生失误，核心是结果评价,artificial
,,,,,,
马首是瞻,马,动物,社会/权力关系,服从;跟随;依附,表示听从某人指挥，核心是社会关系,artificial
,,,,,,
马仰人翻,马,动物,结果/状态,混乱;失败;崩溃,表示局势混乱或彻底失败，核心是状态结果,artificial
,,,,,,
盲人瞎马,马,动物,风险/状态,危险;无知;盲目,表示在不明情况中冒险，核心是风险状态,artificial
,,,,,,
盘马弯弓,马,动物,行为/策略,准备;威胁;展示力量,表示准备行动或展示力量，核心是策略行为,artificial
,,,,,,
求马买骨,马;骨,动物/身体部位,行为/策略,象征性投入;吸引人才;间接手段,表示通过象征性举动吸引人才或资源，核心是策略行为，而非“马骨”,artificial
,,,,,,
人喊马嘶,马,动物,社会/群体状态,喧闹;混乱;嘈杂,表示环境喧闹混乱，核心是群体状态,artificial
,,,,,,
人欢马叫,马,动物,情绪/群体状态,喜悦;热闹;庆祝,表示群体欢乐热闹，核心是情绪状态,artificial
,,,,,,
人困马乏,马,动物,状态/身体状态,疲劳;精力耗尽;劳累,表示人和整体都极度疲惫，核心是状态,artificial
,,,,,,
人中骐骥,骐骥,动物,能力/评价,杰出;优秀;稀有人才,表示极为优秀的人才，核心是能力评价,artificial
,,,,,,
戎马倥偬,马,动物,社会/职业状态,军旅生活;忙碌;战争经历,表示军旅生涯繁忙，核心是职业状态,artificial
,,,,,,
塞翁失马,马,动物,认知/哲理,祸福转化;不确定性;辩证思维,表示坏事可能转化为好事，核心是哲理认知,artificial
,,,,,,
驷马高车,马,动物,社会/地位评价,显赫;地位高;排场大,表示身份显赫，核心是社会地位,artificial
,,,,,,
驷马难追,马,动物,言语/表达,不可收回;承诺;责任,表示说出去的话无法收回，核心是言语行为,artificial
,,,,,,
束兵秣马,马,动物,行为/准备,备战;准备;行动前状态,表示为行动或战争做准备，核心是策略行为,artificial
,,,,,,
天马行空,马,动物,认知/思维方式,自由;想象力;不受限制,表示思维自由奔放，核心是认知方式,artificial
,,,,,,
童牛角马,牛;马,动物,认知/分类,矛盾;不合理;荒谬,表示事物不合逻辑或不合理，核心是认知判断,artificial
,,,,,,
脱缰之马,马,动物,行为/状态,失控;无法约束;放纵,表示行为失去控制，核心是状态,artificial
,,,,,,
万马奔腾,马,动物,状态/动态表现,气势;发展迅速;规模宏大,表示发展迅猛或气势宏大，核心是动态状态,artificial
,,,,,,
万马齐喑,马,动物,社会/状态,压抑;沉默;缺乏表达,表示整体沉默或压抑氛围，核心是社会状态，而非“马”,artificial
,,,,,,
下马看花,马,动物,认知/方法,深入调查;仔细观察;分析,表示停下来仔细观察或研究，核心是认知方法,artificial
,,,,,,
鲜车怒马,车;马,动物,社会/生活状态,奢华;富裕;排场,表示生活豪华，核心是社会状态,artificial
,,,,,,
悬崖勒马,马,动物,行为/决策,及时停止;避免危险;自我控制,表示在危险前及时停止，核心是决策行为,artificial
,,,,,,
野马无缰,马,动物,行为/状态,失控;放纵;无约束,表示不受约束或行为失控，核心是状态,artificial
,,,,,,
一马当先,马,动物,行为/行动方式,领先;带头;主动,表示率先行动，核心是行为方式,artificial
,,,,,,
一马平川,马,动物,空间/地理概念,平坦;开阔;无障碍,表示地势平坦，核心是空间概念,artificial
,,,,,,
仗马寒蝉,马;蝉,动物,行为/状态,沉默;不发声;畏惧,表示不敢说话，核心是行为状态,artificial
,,,,,,
走马上任,马,动物,社会/职业行为,就职;上任;履职,表示开始担任职务，核心是社会行为,artificial
,,,,,,
白云苍狗,狗,动物,时间/变化,变化无常;不稳定;短暂,表示世事变化无常，核心是时间与变化,artificial
,,,,,,
打落水狗,狗,动物,行为/社会行为,追击;压制;落井下石,表示对失败者继续打击，核心是行为评价,artificial
,,,,,,
吠影吠声,狗,动物,认知/行为,盲从;缺乏判断;附和,表示盲目跟从他人，核心是认知行为,artificial
,,,,,,
狗盗鸡鸣,狗;鸡,动物,道德/行为评价,卑鄙;偷窃;暗中行动,表示行为卑劣或偷偷摸摸，核心是道德评价,artificial
,,,,,,
狗胆包天,狗,动物,行为/性格,大胆;鲁莽;无所顾忌,表示胆大妄为，核心是性格评价,artificial
,,,,,,
狗恶酒酸,狗,动物,社会/环境影响,威慑;负面影响;环境恶劣,表示环境令人畏惧或不敢接近，核心是影响关系,artificial
,,,,,,
狗吠非主,狗,动物,社会/关系行为,忠诚;立场;维护所属,表示人维护自己的阵营或立场，核心是社会关系,artificial
,,,,,,
狗急跳墙,狗,动物,行为/状态,绝境反抗;极端行为;绝望,表示人在被逼到绝境时会采取激烈行动，核心是行为状态,artificial
,,,,,,
狗拿耗子,狗;鼠,动物,行为/社会行为,越权;多管闲事;干涉,表示插手不属于自己的事务，核心是社会行为,artificial
,,,,,,
狗屁不通,狗,动物,评价/认知,无意义;荒谬;低质量,表示言论毫无价值或逻辑混乱，核心是评价,artificial
,,,,,,
狗皮膏药,狗,动物,评价/社会行为,欺骗;虚假;无效,表示假冒或无效的事物，核心是评价,artificial
,,,,,,
狗头军师,狗,动物,能力/评价,无能;错误建议;低水平,表示提供错误建议的人，核心是能力评价,artificial
,,,,,,
狗尾续貂,狗,动物,评价/作品结构,多余;质量下降;不协调,表示后续内容质量低劣，核心是评价,artificial
,,,,,,
狗血喷头,狗,动物,言语/行为,辱骂;攻击;强烈批评,表示对他人进行激烈辱骂，核心是言语行为,artificial
,,,,,,
狗仗人势,狗,动物,社会/权力行为,依附;欺压;仗势欺人,表示依靠权势欺压他人，核心是社会行为,artificial
,,,,,,
狗彘不如,狗;彘,动物,道德/评价,卑劣;低下;不道德,表示品行极其低劣，核心是道德评价,artificial
,,,,,,
关门打狗,狗,动物,行为/策略,围堵;消灭;不给退路,表示彻底打击对方，核心是策略行为,artificial
,,,,,,
狂犬吠日,犬,动物,评价/认知,狂妄;无知;不自量力,表示无能却攻击强者，核心是认知评价,artificial
,,,,,,
犬马齿索,犬;马,动物,人生/状态,衰老;年老;体力下降,表示进入老年阶段，核心是人生状态,artificial
,,,,,,
犬马之齿,犬;马,动物,人生/状态,年龄;衰老;自谦表达,表示自己的年龄（谦辞），核心是人生状态,artificial
,,,,,,
犬马之劳,犬;马,动物,社会/关系行为,服务;忠诚;自谦,表示愿意为他人效劳，核心是社会行为,artificial
,,,,,,
犬马之年,犬;马,动物,人生/身份表达,年龄;自谦;礼貌表达,表示自己的年龄（谦辞），核心是社会表达功能，而非“动物”,artificial
,,,,,,
犬马之心,犬;马,动物,情感/品格,忠诚;奉献;真诚,表示真心忠诚，核心是品格与情感,artificial
,,,,,,
犬牙交错,犬牙,动物/身体部位,空间/结构,交错;复杂;不规则,表示结构或关系复杂交错，核心是空间与结构关系,artificial
,,,,,,
犬牙鹰爪,犬;鹰,动物,社会/角色评价,爪牙;帮凶;工具人,表示为他人效力的帮凶，核心是社会角色,artificial
,,,,,,
犬牙相临,犬牙,动物/身体部位,空间/结构,接壤;交错;边界复杂,表示边界交错复杂，核心是空间关系,artificial
,,,,,,
丧家之犬,犬,动物,社会/状态,失势;无依无靠;被抛弃,表示失去依靠的人，核心是社会状态,artificial
,,,,,,
声色狗马,狗;马,动物,社会/生活方式,享乐;放纵;娱乐生活,表示沉溺享乐生活，核心是生活方式,artificial
,,,,,,
蜀犬吠日,犬,动物,认知/判断,见识浅薄;少见多怪;误判,表示因无知而误判，核心是认知问题,artificial
,,,,,,
陶犬瓦鸡,犬;鸡,动物,评价/价值,无用;低价值;装饰性,表示没有实际价值的事物，核心是评价,artificial
,,,,,,
蝉不知雪,蝉,动物,认知/局限性,见识短浅;认知局限;经验不足,表示认知范围有限，核心是认知局限,artificial
,,,,,,
蝉腹龟肠,蝉;龟,动物,状态/身体状态,饥饿;空虚;匮乏,表示饥饿或空虚，核心是身体状态,artificial
,,,,,,
金蝉脱壳,蝉,动物,行为/策略,逃脱;转移;脱身,表示用计策脱身，核心是行为策略,artificial
,,,,,,
噤若寒蝉,蝉,动物,行为/状态,沉默;恐惧;不敢发声,表示因恐惧而保持沉默，核心是状态,artificial
,,,,,,
蛙鸣蝉噪,蛙;蝉,动物,感知/评价,嘈杂;扰人;低质量声音,表示声音杂乱刺耳，核心是感知评价,artificial
,,,,,,
封豕长蛇,豕;蛇,动物,道德/品格,贪婪;残暴;恶劣,表示人贪婪且残暴，核心是道德评价,artificial
,,,,,,
牧猪奴戏,猪,动物,行为/人生评价,沉迷;不务正业;堕落,表示沉迷不正当行为导致堕落，核心是人生评价,artificial
,,,,,,
杀彘教子,彘,动物,行为/教育,以身作则;诚信;教育方式,表示通过实际行动教育子女，核心是教育与诚信，而非“猪”,artificial
,,,,,,
信及豚鱼,豚;鱼,动物,社会/评价,信誉;信任;声誉,表示信誉极高，核心是社会评价,artificial
,,,,,,
猪狗不如,猪;狗,动物,道德/评价,卑劣;低下;不道德,表示品行极其低劣，核心是道德评价,artificial
,,,,,,
,,,,,,
呆若木鸡,鸡,动物,状态/心理状态,呆滞;惊恐;失神,表示因震惊或恐惧而呆住，核心是心理状态,artificial
,,,,,,
缚鸡之力,鸡,动物,能力/身体能力,虚弱;无力;体力不足,表示力量极小，核心是能力评价,artificial
,,,,,,
鸡虫得失,鸡;虫,动物,评价/价值,琐碎;微不足道;无关紧要,表示得失很小，核心是价值评价,artificial
,,,,,,
鸡飞蛋打,鸡,动物,结果/状态,失败;损失;两败俱失,表示事情完全失败，核心是结果,artificial
,,,,,,
鸡飞狗走,鸡;狗,动物,状态/群体状态,混乱;慌乱;失序,表示场面混乱，核心是群体状态,artificial
,,,,,,
