expression,mot_clef,literal_keyword_category,label_principal,labels_secondaires,label_main,label_final,labels,alimentation,apparence,autre,capacité,cognition,comportement,désir,langage,morale,problème,quantité_valeur,social,temps_espace,émotion,état_physique
être sur le dos de quelqu’un,dos,partie du corps,surveillance/pression,contrôle; domination,surveillance,surveillance,"['autre', 'social']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
faire froid dans le dos,dos,partie du corps,peur/angoisse,frisson; inquiétude,peur,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
faire la bête à deux dos,dos,partie du corps,relation sexuelle,intimité; sensualité,relation sexuelle,relation sexuelle,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
faire le dos rond,dos,partie du corps,résignation,prudence; patience,résignation,résignation,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
faire le gros dos,dos,partie du corps,résistance prudente,patience; défense,résistance prudente,résistance prudente,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
faire un enfant dans le dos de quelqu’un,dos,partie du corps,trahison,tromperie; manipulation,trahison,morale,"['autre', 'morale']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
mettre quelque chose sur le dos de quelqu’un,dos,partie du corps,accusation,responsabilité; injustice,accusation,accusation,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
renvoyer dos à dos,dos,partie du corps,neutralité,conflit; égalité,neutralité,neutralité,"['autre', 'social']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
se laisser tondre la laine sur le dos,dos,partie du corps,exploitation,passivité; naïveté,exploitation,exploitation,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
se mettre quelqu’un à dos,dos,partie du corps,hostilité,conflit; opposition,hostilité,hostilité,"['autre', 'social']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
tourner le dos à quelqu’un,dos,partie du corps,rejet,rupture; indifférence,rejet,rejet,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
courber l’échine,échine,partie du corps,soumission,obéissance; humiliation,soumission,social,"['autre', 'social']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
avoir l’échine basse,échine,partie du corps,soumission,honte; faiblesse,soumission,social,"['autre', 'social', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
avoir les épaules larges,épaules,partie du corps,capacité/responsabilité,force; endurance,capacité,capacité,"['autre', 'capacité']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
avoir les épaules solides,épaules,partie du corps,résistance,fiabilité; force,résistance,comportement,"['autre', 'comportement']",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
avoir l’estomac dans les talons,estomac,partie du corps,faim,besoin physique; faiblesse,faim,état_physique,"['autre', 'état_physique']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
avoir un creux à l’estomac,estomac,partie du corps,faim,sensation physique; besoin,faim,état_physique,"['autre', 'état_physique']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
avoir un estomac d’autruche,estomac,partie du corps,résistance digestive,tolérance; robustesse,résistance digestive,résistance digestive,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
avoir l’estomac bien accroché,estomac,partie du corps,résistance émotionnelle,sang-froid; courage,résistance émotionnelle,émotion,"['autre', 'morale', 'émotion']",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
le faire à l’estomac,estomac,partie du corps,contrainte,pression; intimidation,contrainte,contrainte,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rester sur l’estomac,estomac,partie du corps,malaise émotionnel,frustration; rancune,malaise émotionnel,malaise émotionnel,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
à visage découvert,visage,partie du corps,franchise,transparence; honnêteté,franchise,langage,"['autre', 'langage']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
avoir une mine de papier mâché,mine,partie du corps,mauvaise apparence,fatigue; pâleur,mauvaise apparence,apparence,"['apparence', 'autre', 'état_physique']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
se caler les joues,joues,partie du corps,alimentation,gourmandise; satiété,alimentation,alimentation,"['alimentation', 'autre', 'désir']",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
se voiler la face,face,partie du corps,déni,refus de voir la réalité; illusion,déni,déni,"['autre', 'cognition']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
une face de carême,face,partie du corps,tristesse,mine sévère; austérité,tristesse,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
une mine de déterré,mine,partie du corps,mauvaise apparence,épuisement; pâleur,mauvaise apparence,apparence,"['apparence', 'autre', 'état_physique']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
un visage en lame de couteau,visage,partie du corps,apparence maigre,sévérité; fatigue,apparence maigre,apparence,"['apparence', 'autre', 'état_physique']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
avoir du cul,cul,partie du corps,chance,réussite; hasard,chance,chance,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
en avoir plein le cul,cul,partie du corps,ras-le-bol,exaspération; fatigue,ras-le-bol,ras-le-bol,"['autre', 'émotion', 'état_physique']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
faire cul sec,cul,partie du corps,consommation rapide,alcool; défi,consommation rapide,alimentation,"['alimentation', 'autre']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
l’avoir dans le cul,cul,partie du corps,échec/tromperie,frustration; perte,échec,problème,"['problème', 'émotion']",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
lécher le cul,cul,partie du corps,servilité,flatterie; hypocrisie,servilité,social,"['autre', 'morale', 'social']",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
péter plus haut que son cul,cul,partie du corps,prétention,arrogance; vanité,prétention,prétention,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
poser ses fesses,fesses,partie du corps,repos,inactivité; installation,repos,repos,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
se casser le cul,cul,partie du corps,effort intense,travail; fatigue,effort intense,comportement,"['comportement', 'état_physique']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
se geler les fesses,fesses,partie du corps,froid,inconfort; souffrance,froid,état_physique,"['autre', 'état_physique']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
s’occuper de son cul,cul,partie du corps,indépendance,indifférence; individualisme,indépendance,indépendance,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
serrer les fesses,fesses,partie du corps,peur/tension,stress; inquiétude,peur,émotion,['émotion'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
se taper le cul par terre,cul,partie du corps,rire intense,moquerie; amusement,rire intense,rire intense,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tomber sur le cul,cul,partie du corps,surprise,stupeur; choc,surprise,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
un faux cul,cul,partie du corps,hypocrisie,fausseté; duplicité,hypocrisie,morale,"['autre', 'morale']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
être sur le flanc,flanc,partie du corps,fatigue/maladie,affaiblissement; repos,fatigue,état_physique,"['autre', 'état_physique']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
tirer au flanc,flanc,partie du corps,paresse,évitement; inactivité,paresse,comportement,"['autre', 'comportement']",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
gagner son pain à la sueur de son front,front,partie du corps,travail/effort,honnêteté; persévérance,travail,comportement,"['autre', 'comportement']",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
avoir les foies,foie,partie du corps,peur,anxiété; inquiétude,peur,émotion,['émotion'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
être sur les genoux,genoux,partie du corps,épuisement,fatigue; faiblesse,épuisement,état_physique,"['autre', 'état_physique']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
faire du genou,genou,partie du corps,séduction,contact physique; flirt,séduction,séduction,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mettre le couteau sous la gorge,gorge,partie du corps,menace/contrainte,intimidation; pression,menace,problème,"['autre', 'problème']",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
rester en travers de la gorge,gorge,partie du corps,ressentiment,frustration; colère,ressentiment,émotion,['émotion'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
rire à gorge déployée,gorge,partie du corps,rire intense,joie; amusement,rire intense,rire intense,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
à toutes jambes,jambes,partie du corps,vitesse/fuite,course; urgence,vitesse,temps_espace,"['autre', 'temps_espace']",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
avoir les jambes en marmelade,jambes,partie du corps,fatigue physique,épuisement; faiblesse,fatigue physique,état_physique,"['autre', 'état_physique']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ça fait une belle jambe,jambe,partie du corps,ironie,inutilité; indifférence,ironie,ironie,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
faire des ronds de jambe,jambe,partie du corps,servilité,politesse excessive; flatterie,servilité,social,"['autre', 'social']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
faire quelque chose par-dessus la jambe,jambe,partie du corps,négligence,superficialité; manque de soin,négligence,comportement,"['autre', 'comportement']",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
prendre ses jambes à son cou,jambes,partie du corps,fuite,peur; rapidité,fuite,comportement,"['comportement', 'temps_espace', 'émotion']",0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
tenir la jambe à quelqu’un,jambe,partie du corps,importunité,conversation excessive; ennui,importunité,importunité,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tirer dans les jambes,jambes,partie du corps,entrave,hostilité; sabotage,entrave,entrave,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
un pansement sur une jambe de bois,jambe,partie du corps,solution inefficace,inutilité; insuffisance,solution inefficace,solution inefficace,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
une partie de jambes en l’air,jambes,partie du corps,relation sexuelle,plaisir; intimité,relation sexuelle,relation sexuelle,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
avoir la langue bien pendue,langue,partie du corps,bavardage,aisance verbale; parole,bavardage,langage,"['autre', 'langage']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
avoir un mot sur le bout de la langue,langue,partie du corps,mémoire,inaccessibilité momentanée; oubli,mémoire,cognition,"['autre', 'cognition']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
être mauvaise langue,langue,partie du corps,médisance,critique; malveillance,médisance,langage,"['autre', 'langage']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
manier la langue de bois,langue,partie du corps,discours stéréotypé,politique; évitement,discours stéréotypé,langage,"['autre', 'langage']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
ne pas avoir la langue dans sa poche,langue,partie du corps,franchise,bavardage; spontanéité,franchise,langage,"['autre', 'langage']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
se mordre la langue,langue,partie du corps,retenue,autocensure; hésitation,retenue,retenue,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tenir sa langue,langue,partie du corps,silence,confidentialité; discrétion,silence,langage,"['autre', 'langage']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
du bout des lèvres,lèvres,partie du corps,réticence,faible engagement; hésitation,réticence,réticence,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
se lécher les babines,babines,partie du corps,gourmandise,plaisir; anticipation,gourmandise,désir,"['autre', 'désir', 'émotion']",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
avoir deux mains gauches,mains,partie du corps,maladresse,incompétence; maladresse manuelle,maladresse,capacité,"['autre', 'capacité']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
avoir la main,main,partie du corps,contrôle/avantage,habitude; supériorité,contrôle,social,"['autre', 'social']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
avoir la main lourde,main,partie du corps,excès,brutalité; abus,excès,quantité_valeur,"['autre', 'quantité_valeur']",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
avoir les mains baladeuses,mains,partie du corps,comportement déplacé,séduction; attouchement,comportement déplacé,comportement déplacé,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
avoir les mains liées,mains,partie du corps,impuissance,contrainte; impossibilité,impuissance,impuissance,"['autre', 'problème']",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
avoir perdu la main,main,partie du corps,perte d’habileté,oubli; manque de pratique,perte d’habileté,capacité,"['autre', 'capacité', 'cognition']",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
avoir quelque chose en main,main,partie du corps,contrôle,possession; préparation,contrôle,social,"['autre', 'comportement', 'social']",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
avoir un poil dans la main,main,partie du corps,paresse,inactivité; négligence,paresse,comportement,"['autre', 'comportement']",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
de main de maître,main,partie du corps,maîtrise,perfection; expertise,maîtrise,capacité,"['autre', 'capacité']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
demander la main de,main,partie du corps,mariage,union; engagement,mariage,social,"['autre', 'social']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
de première main,main,partie du corps,source directe,authenticité; fiabilité,source directe,source directe,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
donner un coup de main,main,partie du corps,aide,soutien; coopération,aide,aide,"['autre', 'social']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
en mettre sa main à couper,main,partie du corps,certitude,confiance; conviction,certitude,cognition,"['autre', 'cognition']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
en venir aux mains,mains,partie du corps,conflit physique,violence; dispute,conflit physique,conflit physique,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
entre bonnes mains,mains,partie du corps,sécurité,confiance; protection,sécurité,sécurité,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
en un tour de main,main,partie du corps,rapidité,facilité; efficacité,rapidité,temps_espace,"['autre', 'temps_espace']",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
être comme les doigts de la main,doigts,partie du corps,proximité,amitié; solidarité,proximité,temps_espace,"['social', 'temps_espace']",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
être entre de bonnes mains,mains,partie du corps,sécurité,confiance; protection,sécurité,sécurité,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
faire des pieds et des mains,mains,partie du corps,effort intense,persévérance; énergie,effort intense,comportement,"['autre', 'comportement']",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
forcer la main à quelqu’un,main,partie du corps,contrainte,pression; obligation,contrainte,contrainte,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
haut la main,main,partie du corps,succès facile,victoire; supériorité,succès facile,succès facile,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mettre la main à la pâte,main,partie du corps,participation,travail; implication,participation,comportement,"['autre', 'comportement']",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
mettre sa main au feu,main,partie du corps,certitude,confiance; garantie,certitude,cognition,"['autre', 'cognition']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
mettre la main au collet de quelqu’un,main,partie du corps,arrestation,contrôle; capture,arrestation,arrestation,"['autre', 'social']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
ne pas y aller de main morte,main,partie du corps,excès,violence; brutalité,excès,quantité_valeur,"['autre', 'quantité_valeur']",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
passer la main à quelqu’un,main,partie du corps,transmission,relève; délégation,transmission,transmission,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
passer la main dans le dos de quelqu’un,main,partie du corps,affection,soutien; proximité,affection,émotion,"['social', 'temps_espace', 'émotion']",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
pouvoir se compter sur les doigts d’une main,doigts,partie du corps,rareté,petit nombre; exception,rareté,rareté,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
préférer se couper la main plutôt que de,main,partie du corps,refus absolu,honneur; conviction,refus absolu,comportement,"['autre', 'comportement']",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
prendre en main quelque chose,main,partie du corps,prise de contrôle,responsabilité; organisation,prise de contrôle,social,"['autre', 'social']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
prendre quelqu’un la main dans le sac,main,partie du corps,flagrant délit,découverte; faute,flagrant délit,flagrant délit,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
prendre son courage à deux mains,mains,partie du corps,courage,détermination; effort,courage,morale,"['autre', 'comportement', 'morale']",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
prêter main-forte,main,partie du corps,aide,soutien; assistance,aide,aide,"['autre', 'social']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
s’en laver les mains,mains,partie du corps,désengagement,indifférence; irresponsabilité,désengagement,désengagement,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
se faire la main,main,partie du corps,apprentissage,expérience; entraînement,apprentissage,apprentissage,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
se frotter les mains,mains,partie du corps,satisfaction,anticipation; plaisir,satisfaction,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
venir les mains dans les poches,mains,partie du corps,absence de préparation,négligence; désinvolture,absence de préparation,absence de préparation,"['autre', 'comportement']",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
avoir le menton en galoche,menton,partie du corps,apparence physique,forme du visage; particularité,apparence physique,apparence,"['apparence', 'autre']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
avoir les nerfs en pelote,nerfs,partie du corps,stress/confusion,fatigue nerveuse; agitation,stress,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
être à bout de nerfs,nerfs,partie du corps,épuisement nerveux,stress; tension,épuisement nerveux,état_physique,"['autre', 'émotion', 'état_physique']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
taper sur les nerfs,nerfs,partie du corps,agacement,irritation; exaspération,agacement,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
à vue de nez,nez,partie du corps,approximation,estimation; intuition,approximation,approximation,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
avoir un verre dans le nez,nez,partie du corps,ivresse,alcool; euphorie,ivresse,alimentation,"['alimentation', 'autre']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
avoir un nez en trompette,nez,partie du corps,apparence physique,forme du visage; singularité,apparence physique,apparence,"['apparence', 'autre']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
avoir quelqu’un dans le nez,nez,partie du corps,antipathie,rejet; irritation,antipathie,antipathie,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
avoir du nez,nez,partie du corps,intuition,flair; intelligence,intuition,intuition,"['autre', 'cognition']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
avoir sous le nez,nez,partie du corps,proximité,évidence; accessibilité,proximité,temps_espace,"['autre', 'temps_espace']",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
faire un pied de nez,nez,partie du corps,moquerie,provocation; défi,moquerie,moquerie,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
la moutarde monte au nez,nez,partie du corps,colère,irritation; énervement,colère,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
mener par le bout du nez,nez,partie du corps,manipulation,contrôle; domination,manipulation,manipulation,"['autre', 'social']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
mettre le nez dehors,nez,partie du corps,sortie/exposition,prudence; présence,sortie,comportement,"['autre', 'comportement']",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
mettre son nez quelque part,nez,partie du corps,indiscrétion,curiosité; intrusion,indiscrétion,indiscrétion,"['autre', 'désir']",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
montrer le bout de son nez,nez,partie du corps,apparition,arrivée; présence,apparition,apparition,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ne pas lever le nez,nez,partie du corps,concentration,travail; absorption,concentration,cognition,"['autre', 'cognition', 'comportement']",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
ne pas voir plus loin que le bout de son nez,nez,partie du corps,manque de vision,égoïsme; courte vue,manque de vision,manque de vision,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
parler du nez,nez,partie du corps,prononciation,voix; nasalité,prononciation,langage,"['autre', 'langage']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
passer sous le nez de quelqu’un,nez,partie du corps,perte/frustration,occasion manquée; proximité,perte,problème,"['autre', 'problème', 'temps_espace']",0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
prendre au nez,nez,partie du corps,odeur,sensation; perception,odeur,odeur,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
prendre quelqu’un de nez,nez,partie du corps,antipathie instinctive,rejet; impression,antipathie instinctive,antipathie instinctive,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
se casser le nez,nez,partie du corps,échec,obstacle; déconvenue,échec,problème,"['autre', 'problème']",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
se manger le nez,nez,partie du corps,conflit,dispute; affrontement,conflit,social,"['autre', 'social']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
se piquer le nez,nez,partie du corps,ivresse,alcool; consommation,ivresse,alimentation,"['alimentation', 'autre']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
se voir comme le nez au milieu de la figure,nez,partie du corps,évidence,clarté; visibilité,évidence,évidence,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sortir par les trous du nez,nez,partie du corps,exaspération,saturation; rejet,exaspération,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
retomber sur le nez de quelqu’un,nez,partie du corps,conséquence négative,retour; responsabilité,conséquence négative,problème,"['autre', 'problème']",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
tomber nez à nez avec quelqu’un,nez,partie du corps,rencontre inattendue,surprise; hasard,rencontre inattendue,rencontre inattendue,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ton nez remue,nez,partie du corps,mensonge,suspicion; ironie,mensonge,mensonge,"['autre', 'cognition']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
avoir les ongles en deuil,ongles,partie du corps,saleté,négligence; apparence,saleté,saleté,"['apparence', 'autre', 'comportement']",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
payer rubis sur l’ongle,ongle,partie du corps,paiement immédiat,honnêteté; exactitude,paiement immédiat,paiement immédiat,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
se défendre bec et ongles,ongles,partie du corps,défense acharnée,résistance; agressivité,défense acharnée,comportement,"['autre', 'comportement']",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
avoir de l’oreille,oreille,partie du corps,capacité musicale,sensibilité auditive; talent,capacité musicale,capacité,"['autre', 'capacité']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
avoir des oreilles en feuilles de chou,oreilles,partie du corps,apparence physique,forme; moquerie,apparence physique,apparence,"['apparence', 'autre']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
avoir la puce à l’oreille,oreille,partie du corps,suspicion,inquiétude; doute,suspicion,cognition,"['cognition', 'émotion']",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
avoir les oreilles qui sifflent,oreilles,partie du corps,réputation,rumeur; évocation,réputation,social,"['autre', 'social']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
casser les oreilles à quelqu’un,oreilles,partie du corps,agacement,bruit; irritation,agacement,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
de bouche à oreille,oreille,partie du corps,transmission orale,rumeur; recommandation,transmission orale,langage,"['autre', 'langage']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
dormir sur ses deux oreilles,oreilles,partie du corps,sécurité,tranquillité; confiance,sécurité,sécurité,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
échauffer les oreilles de quelqu’un,oreilles,partie du corps,colère,réprimande; tension,colère,émotion,"['autre', 'langage', 'émotion']",0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
entrer par une oreille et sortir par l’autre,oreille,partie du corps,inattention,oubli; indifférence,inattention,cognition,"['autre', 'cognition']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
être dur d’oreille,oreille,partie du corps,surdité,compréhension difficile; audition,surdité,surdité,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
faire la sourde oreille,oreille,partie du corps,refus d’écouter,indifférence; ignorance,refus d’écouter,comportement,"['autre', 'cognition', 'comportement']",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
l’oreille aux aguets,oreille,partie du corps,vigilance,attention; surveillance,vigilance,vigilance,"['autre', 'cognition']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
n’écouter que d’une oreille,oreille,partie du corps,inattention,distraction; désintérêt,inattention,cognition,"['autre', 'cognition']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
ne pas l’entendre de cette oreille,oreille,partie du corps,refus,désaccord; opposition,refus,comportement,"['autre', 'comportement', 'social']",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
ne pas tomber dans l’oreille d’un sourd,oreille,partie du corps,réception positive,compréhension; efficacité,réception positive,social,"['autre', 'social']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
rebattre les oreilles,oreilles,partie du corps,répétition agaçante,importunité; discours,répétition agaçante,répétition agaçante,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
se faire tirer l’oreille,oreille,partie du corps,hésitation,réticence; lenteur,hésitation,hésitation,"['autre', 'temps_espace']",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
tendre l’oreille,oreille,partie du corps,attention,écoute; curiosité,attention,cognition,"['autre', 'cognition', 'désir']",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
à l’œil,œil,partie du corps,gratuité,approximation; informalité,gratuité,quantité_valeur,"['autre', 'quantité_valeur']",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
avoir des yeux de lynx,yeux,partie du corps,perception,vigilance; acuité,perception,perception,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
avoir le compas dans l’œil,œil,partie du corps,précision,estimation; habileté,précision,précision,"['autre', 'capacité']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
avoir l’œil,œil,partie du corps,vigilance,sens de l’observation; intuition,vigilance,vigilance,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
avoir les yeux plus grands que le ventre,yeux,partie du corps,excès,gourmandise; ambition,excès,quantité_valeur,"['désir', 'quantité_valeur']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
avoir un bandeau sur les yeux,yeux,partie du corps,aveuglement,ignorance; refus de voir,aveuglement,cognition,"['autre', 'cognition']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
